id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
adventure-gold,agld,Adventure Gold,https://coin-images.coingecko.com/coins/images/18125/large/lpgblc4h_400x400.jpg?1696517628,0.154955,13513567,1001,14348214,6070860.0,0.15991,0.15378,-0.004343166772235812,-2.72644,-416865.0757125616,-2.99248,87430001.0,92830001.0,96000000.0,7.7,-97.99304,2021-09-03T11:41:40.240Z,0.15378,0.52173,2026-06-19T12:35:55.806Z,,2026-06-20T00:04:43.146Z
portal-2,portal,Portal,https://coin-images.coingecko.com/coins/images/35436/large/portal.jpeg?1708590254,0.0168497,13488680,996,16845391,34397989.0,0.01721962,0.0141909,0.00227169,15.583,1838225.0,15.77814,800734194.0901614,1000000000.0,1000000000.0,3.36,-99.50088,2024-02-29T10:05:01.008Z,0.00734734,128.18556,2026-05-29T07:50:23.475Z,,2026-06-20T00:04:44.552Z
joe,joe,JOE,https://coin-images.coingecko.com/coins/images/17569/large/LFJ_JOE_Logo.png?1727200941,0.02952026,13459508,1002,14711488,5046882.0,0.03015932,0.02909175,-0.00042294220195857,-1.41248,-234523.36182829924,-1.7126,457181657.224341,499707918.0306486,500000000.0,5.09,-99.42121,2021-11-21T14:27:00.202Z,0.02658814,10.74049,2021-08-11T14:01:35.223Z,,2026-06-20T00:04:43.065Z
esui-dollar,suiusde,eSui Dollar,https://coin-images.coingecko.com/coins/images/102172002/large/suiusdecorrect.png?1770891184,0.999826,13457180,1003,13457180,39775.0,1.023,0.999653,-0.000425965202999978,-0.04259,-7097.573272783309,-0.05271,13460754.077066,13460754.077066,,1.062,-5.84552,2026-03-05T16:45:14.615Z,0.987601,1.22882,2026-04-14T16:10:23.420Z,,2026-06-20T00:04:50.915Z
sofi-technologies-ondo-tokenized-stock,sofion,SoFi Technologies (Ondo Tokenized Stock),https://coin-images.coingecko.com/coins/images/71579/large/sofion_160x160.webp?1768405245,17.87,13452966,1004,13452966,54902.0,17.92,17.84,0.00995087,0.05571,5373.51,0.03996,752693.2255261946,752693.2255261946,,27.25,-34.40287,2026-01-15T17:37:44.505Z,14.79,20.80778,2026-05-25T15:10:46.231Z,,2026-06-20T00:04:46.867Z
marsmi,marsmi,MarsMi,https://coin-images.coingecko.com/coins/images/67592/large/MarsMi_200x200.png?1753214052,0.01340712,13427249,1005,13427249,313962.0,0.01355502,0.01321639,8.211e-05,0.61624,102019.0,0.76561,999999276.674505,999999276.674505,1000000000.0,0.187525,-92.85049,2025-07-28T06:20:32.123Z,0.01153154,16.26475,2026-06-06T05:05:45.582Z,,2026-06-20T00:04:45.979Z
proton-loan,loan,Loan Protocol,https://coin-images.coingecko.com/coins/images/22859/large/Loan-Logo.png?1696522160,0.00039294,13399456,1006,44982545,110165.0,0.00040183,0.00038115,-3.131063399252e-06,-0.79054,-48081.242706373334,-0.35755,33648855132.638817,112960643530.999,,0.00278796,-85.71663,2025-08-09T21:02:53.778Z,4.11e-06,9595.77813,2023-09-03T12:29:45.262Z,,2026-06-20T00:04:43.282Z
moviebloc,mbl,MovieBloc,https://coin-images.coingecko.com/coins/images/8460/large/MBL_Logo.png?1696508646,0.00068389,13397854,1007,20660942,2025464.0,0.00069483,0.0006662,-7.178894822719e-06,-1.03881,3206.15,0.02394,19453887214.0,30000000000.0,30000000000.0,0.0450322,-98.46922,2021-04-02T01:08:31.856Z,0.00042973,60.41294,2019-10-25T08:25:31.503Z,,2026-06-20T00:04:46.949Z
epic-chain,epic,Epic Chain,https://coin-images.coingecko.com/coins/images/54734/large/PFP.png?1753421273,0.399934,13386492,1008,13386492,16139660.0,0.59271,0.39812,-0.18495763855428066,-31.62252,-6283416.708141094,-31.94431,33600000.0,33600000.0,33600000.0,3.2,-87.52352,2025-08-20T15:57:23.043Z,0.192233,107.5085,2026-05-29T04:15:25.109Z,,2026-06-20T00:04:45.537Z
trusta-ai,ta,Trusta AI,https://coin-images.coingecko.com/coins/images/67453/large/trusta.jpg?1752832178,0.074315,13357787,1015,74209929,1432998.0,0.074272,0.068788,0.00458518,6.57561,820689.0,6.54608,180000000.0,1000000000.0,1000000000.0,0.369021,-79.8906,2025-09-08T16:51:40.769Z,0.01882585,294.18107,2025-12-24T09:38:04.225Z,,2026-06-20T00:04:53.634Z
